Time,Cmax
0.0,107.43
0.01,105.81
0.02,105.81
0.03,105.71
0.04,104.54
0.05,104.3
0.06,104.2
0.07,104.18
0.09,104.18
0.1,104.18
0.11,104.07
0.12,104.07
0.13,104.07
0.14,103.91
0.15,103.91
0.16,103.86
0.17,103.86
0.18,103.86
0.19,103.84
0.2,103.84
0.21,103.84
0.22,103.84
0.23,103.84
0.24,103.84
0.26,103.84
0.27,103.84
0.28,103.84
0.29,103.84
0.3,103.84
0.31,103.84
0.32,103.84
0.33,103.84
0.34,103.84
0.35,103.84
0.36,103.84
0.37,103.84
0.38,103.84
0.39,103.84
0.4,103.84
0.41,103.84
0.42,103.84
0.43,103.84
0.44,103.84
0.45,103.84
0.46,103.84
0.48,103.84
0.49,103.84
0.5,103.84
0.51,103.84
0.52,103.84
0.53,103.84
0.54,103.69
0.55,103.69
0.56,103.69
0.57,103.69
0.58,103.69
0.59,103.69
0.6,103.69
0.61,103.69
0.62,103.61
0.63,103.61
0.65,103.61
0.66,103.44
0.67,103.44
0.68,103.44
0.69,103.44
0.7,103.44
0.71,103.44
0.72,103.44
0.74,103.44
0.75,103.44
0.77,103.44
0.78,103.44
0.79,103.44
0.81,103.44
0.82,103.44
0.83,103.44
0.84,103.44
0.85,103.44
0.86,103.44
0.87,103.44
0.88,103.44
0.89,103.44
0.9,103.35
0.91,103.35
0.92,103.35
0.93,103.35
0.94,103.35
0.95,103.35
0.96,103.33
0.97,103.33
0.98,103.33
1.0,103.33
1.01,103.33
1.02,103.33
1.03,103.33
1.04,103.33
1.05,103.33
1.06,103.33
1.07,103.33
1.08,103.33
1.09,103.33
1.1,103.33
1.11,103.33
1.12,103.33
1.13,103.33
1.14,103.33
1.16,103.33
1.17,103.33
1.18,103.33
1.19,103.33
1.2,103.33
1.21,103.33
1.22,103.33
1.23,103.33
1.24,103.33
1.25,103.33
1.26,103.33
1.27,103.33
1.28,103.33
1.29,103.33
1.3,103.33
1.31,103.33
1.32,103.33
1.33,103.33
1.34,103.33
1.36,103.33
1.37,103.33
1.38,103.33
1.39,103.33
1.4,103.33
1.41,103.33
1.42,103.33
1.43,103.33
1.44,103.33
1.45,103.33
1.46,103.33
1.47,103.33
1.48,103.33
1.49,103.33
1.5,103.33
1.51,103.33
1.52,103.33
1.53,103.33
1.54,103.33
1.55,103.33
1.56,103.33
1.58,103.33
1.59,103.33
1.6,103.33
1.61,103.33
1.62,103.33
1.63,103.33
1.64,103.33
1.65,103.33
1.66,103.33
1.68,103.33
1.69,103.33
1.7,103.33
1.71,103.32
1.72,103.32
1.74,103.32
1.75,103.32
1.76,103.32
1.77,103.32
1.78,103.32
1.81,103.32
1.82,103.32
1.83,103.32
1.84,103.32
1.85,103.32
1.87,103.32
1.88,103.32
1.89,103.32
1.9,103.32
1.91,103.32
1.92,103.32
1.93,103.32
1.94,103.32
1.95,103.32
1.97,103.32
1.98,103.32
1.99,103.32
2.0,103.32
2.01,103.32
2.02,103.32
2.03,103.32
2.04,103.32
2.05,103.32
2.06,103.32
2.07,103.32
2.09,103.32
2.1,103.32
2.11,103.32
2.12,103.32
2.13,103.32
2.14,103.32
2.15,103.32
2.16,103.32
2.17,103.32
2.18,103.32
2.19,103.32
2.2,103.32
2.21,103.32
2.23,103.32
2.24,103.32
2.25,103.32
2.26,103.32
2.27,103.32
2.28,103.32
2.29,103.32
2.3,103.32
2.31,103.32
2.32,103.32
2.33,103.32
2.34,103.32
2.35,103.32
2.36,103.32
2.37,103.32
2.38,103.32
2.39,103.32
2.4,103.32
2.41,103.32
2.43,103.32
2.44,103.32
2.45,103.32
2.46,103.32
2.47,103.32
2.48,103.32
2.49,103.32
2.5,103.32
2.51,103.32
2.52,103.32
2.53,103.32
2.54,103.32
2.55,103.32
2.56,103.32
2.57,103.32
2.58,103.32
2.59,103.32
2.6,103.32
2.62,103.32
2.63,103.32
2.64,103.32
2.65,103.32
2.66,103.32
2.67,103.32
2.68,103.32
2.69,103.32
2.7,103.32
2.72,103.32
2.73,103.32
2.74,103.32
2.75,103.32
2.76,103.32
2.77,103.32
2.78,103.32
2.8,103.32
2.81,103.32
2.82,103.32
2.84,103.32
2.85,103.32
2.87,103.32
2.88,103.32
2.89,103.32
2.9,103.32
2.91,103.32
2.92,103.32
2.93,103.32
2.94,103.32
2.95,103.32
2.96,103.32
2.97,103.32
2.98,103.32
3.0,103.32
3.01,103.32
3.02,103.32
3.03,103.32
3.04,103.32
3.05,103.32
3.06,103.32
3.07,103.32
3.08,103.32
3.09,103.32
3.1,103.32
3.11,103.32
3.12,103.32
3.13,103.32
3.14,103.32
3.15,103.32
3.16,103.32
3.18,103.32
3.19,103.32
3.2,103.32
3.21,103.32
3.22,103.32
3.23,103.32
3.24,103.32
3.25,103.32
3.26,103.32
3.28,103.32
3.29,103.32
3.3,103.32
3.31,103.32
3.32,103.32
3.33,103.32
3.34,103.32
3.35,103.32
3.36,103.32
3.37,103.32
3.39,103.32
3.4,103.32
3.41,103.32
3.42,103.32
3.44,103.32
3.45,103.32
3.46,103.32
3.47,103.32
3.48,103.32
3.49,103.32
3.5,103.32
3.51,103.32
3.53,103.32
3.54,103.32
3.55,103.32
3.56,103.32
3.57,103.32
3.59,103.32
3.6,103.32
3.63,103.32
3.67,103.32
3.69,103.32
3.7,103.32
3.71,103.32
3.75,103.32
3.76,103.32
3.77,103.32
3.78,103.32
3.79,103.32
3.8,103.32
3.81,103.32
3.82,103.32
3.83,103.32
3.85,103.32
3.86,103.32
3.87,103.32
3.88,103.32
3.89,103.32
3.9,103.32
3.91,103.32
3.92,103.32
3.93,103.32
3.94,103.32
3.95,103.32
3.96,103.32
3.97,103.32
3.98,103.32
3.99,103.32
4.0,103.32
4.01,103.32
4.02,103.32
4.03,103.32
4.04,103.32
4.06,103.32
4.07,103.32
4.08,103.32
4.09,103.32
4.11,103.32
4.12,103.32
4.13,103.32
4.14,103.32
4.15,103.32
4.16,103.32
4.17,103.32
4.18,103.32
4.19,103.32
4.2,103.32
4.22,103.32
4.23,103.32
4.24,103.32
4.25,103.32
4.26,103.32
4.27,103.32
4.28,103.32
4.3,103.32
4.31,103.32
4.33,103.32
4.34,103.32
4.38,103.32
4.42,103.32
4.44,103.32
4.45,103.32
4.46,103.32
4.47,103.32
4.48,103.32
4.49,103.32
4.51,103.32
4.52,103.32
4.53,103.32
4.54,103.32
4.55,103.32
4.56,103.32
4.57,103.32
4.58,103.32
4.6,103.32
4.61,103.32
4.62,103.32
4.63,103.32
4.64,103.32
4.65,103.32
4.66,103.32
4.67,103.32
4.68,103.32
4.69,103.32
4.7,103.32
4.71,103.32
4.72,103.32
4.73,103.32
4.74,103.32
4.76,103.32
4.77,103.32
4.78,103.32
4.79,103.32
4.8,103.32
4.81,103.32
4.82,103.32
4.83,103.32
4.84,103.32
4.85,103.32
4.86,103.32
4.87,103.32
4.88,103.32
4.89,103.32
4.9,103.32
4.91,103.32
4.92,103.32
4.93,103.32
4.95,103.32
4.96,103.32
4.97,103.32
4.98,103.32
4.99,103.32
5.01,103.32
5.02,103.32
5.03,103.32
5.05,103.32
5.06,103.32
5.07,103.32
5.09,103.32
5.1,103.32
5.11,103.32
5.12,103.32
5.13,103.32
5.14,103.32
5.15,103.32
5.16,103.32
5.17,103.32
5.18,103.32
5.19,103.32
5.2,103.32
5.21,103.32
5.23,103.32
5.24,103.32
5.25,103.32
5.26,103.32
5.27,103.32
5.28,103.32
5.29,103.32
5.3,103.32
5.31,103.32
5.32,103.32
5.33,103.32
5.34,103.32
5.35,103.32
5.36,103.32
5.37,103.32
5.38,103.32
5.39,103.32
5.4,103.32
5.42,103.32
5.43,103.32
5.44,103.32
5.45,103.32
5.46,103.32
5.47,103.32
5.48,103.28
5.49,103.28
5.5,103.28
5.51,103.28
5.52,103.28
5.53,103.27
5.54,103.27
5.55,103.27
5.56,103.27
5.57,103.27
5.59,103.27
5.6,103.27
5.61,103.27
5.62,103.27
5.63,103.27
5.64,103.27
5.65,103.27
5.66,103.27
5.67,103.27
5.68,103.27
5.69,103.27
5.7,103.27
5.71,103.27
5.73,103.27
5.74,103.27
5.75,103.27
5.76,103.27
5.77,103.27
5.78,103.23
5.79,103.23
5.8,103.23
5.81,103.23
5.82,103.23
5.83,103.23
5.85,103.23
5.86,103.23
5.87,103.23
5.88,103.23
5.89,103.23
5.9,103.23
5.91,103.23
5.92,103.23
5.93,103.23
5.94,103.23
5.95,103.23
5.96,103.23
5.97,103.23
5.98,103.23
5.99,103.23
6.0,103.23
6.01,103.23
6.02,103.23
6.04,103.23
6.05,103.23
6.06,103.23
6.07,103.23
6.08,103.23
6.09,103.23
6.1,103.23
6.11,103.23
6.12,103.23
6.13,103.23
6.14,103.23
6.15,103.23
6.16,103.23
6.17,103.23
6.18,103.23
6.19,103.23
6.21,103.23
6.22,103.23
6.23,103.23
6.24,103.23
6.25,103.23
6.26,103.23
6.27,103.23
6.28,103.23
6.29,103.23
6.3,103.23
6.31,103.23
6.32,103.23
6.33,103.23
6.34,103.23
6.35,103.23
6.36,103.23
6.37,103.23
6.38,103.23
6.39,103.23
6.4,103.23
6.41,103.23
6.42,103.23
6.43,103.23
6.44,103.23
6.45,103.23
6.46,103.23
6.47,103.23
6.48,103.23
6.49,103.23
6.5,103.23
6.51,103.23
6.52,103.23
6.53,103.23
6.54,103.23
6.55,103.23
6.56,103.23
6.57,103.23
6.58,103.23
6.59,103.23
6.6,103.23
6.61,103.23
6.62,103.23
6.63,103.23
6.64,103.23
6.66,103.23
6.67,103.23
6.68,103.23
6.69,103.23
6.7,103.23
6.71,103.23
6.72,103.23
6.73,103.23
6.74,103.23
6.75,103.23
6.76,103.23
6.77,103.23
6.78,103.23
6.79,103.23
6.8,103.23
6.81,103.23
6.82,103.23
6.83,103.23
6.84,103.23
6.85,103.23
6.86,103.23
6.87,103.23
6.88,103.23
6.89,103.23
6.9,103.23
6.91,103.23
6.92,103.23
6.93,103.23
6.94,103.23
6.95,103.23
6.96,103.23
6.97,103.23
6.98,103.23
6.99,103.23
7.0,103.23
7.01,103.23
7.02,103.23
7.03,103.23
7.04,103.23
7.05,103.23
7.07,103.23
7.08,103.23
7.09,103.23
7.1,103.23
7.11,103.23
7.12,103.23
7.13,103.23
7.14,103.23
7.15,103.23
7.16,103.23
7.17,103.23
7.18,103.23
7.19,103.23
7.2,103.23
7.21,103.23
7.22,103.23
7.23,103.23
7.24,103.23
7.25,103.23
7.26,103.23
7.27,103.23
7.28,103.23
7.29,103.23
7.3,103.23
7.31,103.23
7.32,103.23
7.33,103.23
7.34,103.23
7.35,103.23
7.36,103.23
7.37,103.23
7.39,103.23
7.4,103.23
7.41,103.23
7.42,103.23
7.43,103.23
7.44,103.23
7.45,103.23
7.46,103.23
7.47,103.23
7.48,103.23
